ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm)
6493,2.3487,3.6567,17.961,0.7162,2.5568,19.0846
6494,1.4796,4.7642,8.7214,0.3529,0.1317,1.0921
6495,4.8471,3.7169,11.428,0.3397,1.6642,10.4983
6496,1.0879,3.4967,4.9535,1.7465,3.7759,10.7709
6497,2.1733,1.3825,8.5382,0.9216,1.0218,7.354
6498,0.6163,4.6314,7.0674,1.1637,4.8132,13.2638
6499,1.498,0.9798,13.2827,1.8705,4.4935,11.0793
6500,4.0121,4.534,19.7016,0.5852,3.9134,5.3583
6501,1.4053,1.632,16.3594,1.5515,0.4849,14.2535
6502,0.8603,0.7378,4.2472,0.9939,1.8338,9.5903
6503,2.635,4.1507,11.7647,0.5042,1.5612,9.6711
6504,0.5449,0.1122,1.795,1.7206,0.7744,19.0624
6505,0.8814,4.1772,5.3149,1.3919,4.9981,10.9331
6506,4.1343,1.3853,3.8582,0.2804,0.8213,15.8008
6507,3.9716,4.4351,7.0431,1.1293,1.6451,17.414
6508,4.6181,3.4882,13.7369,1.7184,4.4127,11.8242
6509,4.3453,3.3643,10.2382,0.2272,0.8075,15.8343
6510,3.5743,1.8901,18.6917,0.8909,2.4007,6.5361
6511,0.7355,0.3911,4.6486,1.6299,4.8809,4.0476
6512,4.0228,4.1674,7.6021,1.7309,1.3117,14.063
6513,4.3048,0.9374,6.9321,1.5732,3.545,18.5608
6514,4.0959,1.9241,5.1013,0.6808,0.4922,1.3287
6515,2.7882,3.0417,19.8668,1.0632,3.0443,15.3796
6516,1.5481,2.463,8.0509,1.5084,1.7613,1.0538
6517,4.304,1.0734,18.8399,0.3899,3.5279,9.4427
6518,3.7722,0.789,8.1142,1.2305,2.2212,13.7052
6519,4.9134,0.7039,4.4798,1.4687,1.5651,8.4034
6520,1.2006,4.3287,2.8245,1.715,2.7754,6.3685
6521,1.5155,0.2546,17.1835,0.3122,0.7845,4.1433
6522,1.4531,4.8874,1.1259,0.7264,4.0907,19.5685
6523,4.0664,1.0728,19.3057,1.1291,3.7785,11.6212
6524,1.3411,0.6406,8.6547,1.432,2.7703,2.993
6525,0.8,2.9272,5.3238,1.4871,1.8985,1.4389
6526,4.9935,0.4919,12.5402,0.5812,4.5846,5.2461
6527,0.6117,3.052,3.0918,0.1264,3.2088,11.0032
6528,4.2586,4.2681,1.9068,1.4183,1.4955,15.1638
6529,2.1442,0.3347,16.6418,1.8273,4.0529,19.6287
6530,4.2873,4.0194,8.7811,1.6153,3.2116,16.762
6531,2.9958,2.0329,10.606,1.2827,0.7224,12.4334
6532,4.5573,0.8815,3.9456,1.9574,0.6597,13.4963
6533,4.6679,0.9629,1.6978,0.9229,4.6967,10.6804
6534,0.5409,4.6019,7.6716,1.0976,1.5108,8.9742
6535,0.8394,0.642,10.3699,0.1233,3.3511,15.8021
6536,1.6266,4.3472,15.4259,1.8973,0.2785,3.9585
6537,3.5119,2.7668,10.2705,1.2084,2.8269,7.0117
6538,4.4972,0.2914,15.7589,0.8425,1.2325,19.5843
6539,2.5697,2.3759,2.7509,0.1847,0.7842,11.6487
6540,3.2314,4.1055,1.7473,0.7886,3.8902,10.2209
6541,1.3482,3.6584,3.5978,0.1068,4.0668,17.0904
6542,4.1224,2.495,15.5542,0.7162,3.6045,15.3594
6543,4.853,4.3142,15.3069,1.9078,0.1548,6.8578
6544,1.7087,0.6898,3.2567,0.3931,1.4961,12.7063
6545,2.7267,4.5587,1.1043,1.1363,1.8687,4.1151
6546,0.8875,4.2476,13.863,0.4546,3.4852,1.5331
6547,3.0161,3.5706,17.178,1.5884,3.8022,19.802
6548,2.7625,4.1076,15.2051,1.1686,3.1765,14.8756
6549,1.15,2.7647,4.4546,0.4842,3.9665,18.6499
6550,2.4893,3.4083,11.8835,1.7459,2.1938,16.7218
6551,2.0035,2.8469,15.2686,1.5896,2.755,8.8475
6552,2.8482,1.8416,5.4887,1.9075,0.4148,17.2981
6553,3.1354,2.8874,10.7906,0.1012,2.1931,15.8406
6554,0.5382,1.3616,6.632,0.9685,2.2199,5.536
6555,3.9245,2.2574,4.8987,1.9997,3.0964,12.6487
6556,3.7086,1.4758,19.407,1.6413,1.9517,6.4478
6557,2.1483,0.7022,18.2953,1.6794,1.2684,5.0637
6558,0.7382,1.6771,9.1905,1.2802,1.2642,2.0938
6559,3.8972,4.2747,3.1672,1.4545,0.756,11.0916
6560,4.7983,1.9673,14.6942,1.6301,3.535,8.1523
6561,1.5807,3.7652,5.4862,0.2753,3.1506,2.2169
6562,1.9559,0.9585,3.7861,1.4159,2.9383,14.5079
6563,1.3272,2.1797,7.9398,1.6493,2.702,14.5997
6564,3.0962,0.6628,10.8321,0.1776,1.9009,5.0886
6565,1.1968,0.7792,2.4001,0.6644,3.8667,19.1402
6566,2.1029,3.1254,11.6491,0.7156,4.6179,15.6683
6567,3.6366,3.0767,0.7993,1.7237,2.2559,16.2034
6568,3.0205,1.1455,17.8914,1.5827,2.1045,0.5722
6569,2.2391,2.4247,18.4545,1.3472,0.8974,19.5795
6570,2.3911,4.3302,14.7949,1.629,3.3865,19.8107
6571,3.0295,0.9536,9.5977,0.9615,2.8347,10.3908
6572,0.5264,0.1941,5.4705,1.7623,4.9412,19.7078
6573,0.8533,3.2948,15.0102,0.545,2.9632,12.4367
6574,4.4657,0.3621,18.67,1.4387,1.5142,3.1128
6575,0.8505,4.9017,3.5914,0.5593,2.8584,16.3775
6576,3.6806,3.0871,9.5835,0.1757,4.925,11.3827
6577,4.6402,2.4049,6.6476,0.6399,3.6443,7.1747
6578,1.7181,2.207,7.4565,1.0365,0.73,5.1055
6579,2.1672,2.908,8.4123,1.7025,1.7815,10.6185
6580,3.0601,0.5441,19.06,1.0668,1.5636,13.9891
6581,4.4677,4.6571,5.5434,0.4404,4.2984,17.6016
6582,4.7386,3.1656,10.1072,1.9863,3.0947,12.1735
6583,3.828,1.0015,19.054,0.6131,4.0695,8.5982
6584,0.8898,2.8566,9.7831,1.9721,0.9636,12.8266
6585,3.5112,0.753,17.3402,1.879,4.5494,10.1907
6586,2.3464,0.186,1.6459,1.1306,0.3857,13.2139
6587,2.6182,3.1895,19.0841,0.2747,1.9367,12.3749
6588,0.7212,3.2776,4.1569,1.4213,0.1693,19.5843
6589,1.3598,2.9601,19.6087,1.7069,1.003,12.6338
6590,4.0573,0.9991,3.9237,0.9461,4.8149,13.9753
6591,2.5428,3.0568,9.1651,0.5542,0.4846,17.9015
6592,1.8575,0.3769,6.518,1.6254,0.8125,18.3039
6593,2.2281,3.0853,8.948,1.1356,4.6318,3.2471
6594,4.3448,2.8147,5.3852,0.4755,3.5799,9.3492
6595,3.8705,3.3107,19.3237,1.9041,2.0941,18.884
6596,1.7254,4.4878,6.4616,1.9014,0.437,19.2155
6597,1.0288,4.2668,13.2389,0.7974,3.9467,4.2056
6598,1.634,4.9052,3.1802,0.2216,2.5144,9.1522
6599,4.6434,4.8836,16.5756,1.2985,1.6828,5.9337
6600,3.1171,3.8844,11.0789,0.7027,1.8677,15.9194
6601,2.9007,4.7865,19.5992,0.2261,2.5759,17.1173
6602,3.1838,4.3497,8.7563,1.7944,2.801,9.6503
6603,2.1471,3.6652,4.3112,1.9964,4.1087,13.6754
6604,4.132,0.4694,7.2474,0.7658,3.8813,17.4643
6605,2.8548,0.3403,14.8708,1.515,3.8586,14.3356
6606,1.0254,4.2042,13.3526,0.225,3.6736,3.5503
6607,1.0808,2.4993,15.6778,0.8024,3.8132,14.3839
6608,2.9159,4.0916,1.9327,0.3066,3.4202,3.5995
6609,4.7146,1.6333,11.8172,0.2052,4.3533,13.248
6610,1.8876,2.0485,18.6773,1.2187,2.8315,7.0039
6611,4.4129,3.5309,2.6041,1.6239,2.6521,1.6007
6612,3.9384,4.5851,2.3395,0.9606,3.5364,4.9164
6613,1.6152,0.53,14.4738,1.0959,0.9134,9.6335
6614,0.6635,4.3212,6.6461,0.6144,3.9071,19.8833
6615,0.9583,3.9858,13.3423,1.4991,4.6872,5.4864
6616,3.7782,1.6461,11.135,0.786,1.5517,19.5863
6617,1.3985,1.8406,19.7283,0.2282,3.0941,7.6023
6618,2.1707,0.3277,17.8366,0.4145,0.2599,19.2202
6619,2.7576,0.1771,13.7224,0.3441,3.8525,19.144
6620,3.7646,2.4373,5.6027,0.9282,2.8424,3.2865
6621,1.0095,0.5681,5.6072,0.2239,3.4009,16.66
6622,2.3286,1.0506,17.7038,1.6323,0.8007,10.5876
6623,2.6828,4.2492,11.9142,1.8252,4.0663,13.8809
6624,2.9337,2.898,15.891,0.5719,1.3541,15.6335
6625,4.1826,3.2048,9.2724,1.0225,3.4555,2.9284
6626,1.2726,1.0186,2.5099,1.0862,3.0064,16.08
6627,4.1352,4.1604,6.9874,1.9715,3.3036,6.4045
6628,3.618,4.3531,3.6424,0.2247,0.3462,14.7812
6629,3.0014,2.6643,15.7457,1.369,3.7351,11.6863
6630,3.6479,4.5715,14.16,0.757,3.9967,13.851
6631,2.3541,4.2397,2.2241,1.0534,2.4266,12.6461
6632,1.1228,3.6835,12.617,0.5124,2.1034,16.3032
6633,3.4959,3.697,17.5456,0.4045,1.7785,17.9439
6634,2.861,0.6164,14.0986,0.5628,4.6466,9.2575
6635,3.3772,1.4271,10.4667,0.2354,3.7998,8.1473
6636,2.021,0.4276,6.5813,0.6284,3.5232,5.2227
6637,4.5809,0.1425,17.7984,1.4117,4.6355,16.3699
6638,3.1432,0.8757,8.7447,1.3378,1.809,19.3568
6639,0.8843,4.4144,17.1802,1.1535,3.1877,4.3088
6640,2.5241,1.2754,15.7685,0.1007,3.4617,9.4279
6641,3.9036,4.8538,16.4164,0.339,4.9815,15.5216
6642,4.0736,3.0267,19.8011,1.7015,2.1932,12.9028
6643,2.7257,1.2626,15.1008,0.6163,2.0609,16.3931
6644,4.5264,2.5359,1.1638,1.8332,0.514,0.8148
6645,1.7045,1.1736,4.506,1.7616,0.5824,18.2713
6646,2.3477,4.9215,1.1863,0.3944,2.6078,1.6964
6647,4.5437,4.2516,4.2033,1.8065,0.9388,9.1868
6648,4.5332,0.2286,1.6981,1.2929,0.4574,5.8774
6649,3.5857,4.7441,10.2815,1.2975,4.828,18.5998
6650,4.3654,3.6332,1.05,1.7201,4.7619,5.8653
6651,0.8995,0.5037,9.7153,0.8696,1.6939,7.7801
6652,4.3925,3.3861,18.0274,1.497,3.9704,17.8226
6653,1.9428,3.2699,15.0972,1.3688,4.3755,10.9794
6654,1.3025,1.1721,18.9071,1.5659,2.3773,18.0149
6655,1.5772,3.8164,4.9196,1.3544,1.1961,13.3889
6656,2.3809,0.5266,10.8562,0.2521,0.736,2.0442
6657,1.6304,2.4983,6.7123,0.6562,0.79,8.9783
6658,1.9426,0.1486,10.1295,1.8858,4.005,3.9396
6659,1.1074,4.8468,11.363,0.5245,1.9836,1.7701
6660,1.8328,3.7827,1.2056,0.9973,3.4982,7.7895
6661,3.0753,0.8784,5.0485,0.7782,2.7396,18.2144
6662,2.4883,1.7742,14.2431,0.264,2.0339,2.7946
6663,2.0602,0.8868,15.5721,0.4443,0.7067,0.6321
6664,3.859,3.8564,11.6043,0.6447,1.7339,18.7342
6665,4.5208,0.3886,5.7812,0.9803,4.2169,10.8371
6666,3.9056,4.218,8.3991,1.7616,4.0758,11.3923
6667,1.994,4.7168,2.3727,1.0797,0.239,18.6048
6668,3.85,3.4155,19.087,1.3386,0.7874,14.1535
6669,1.1839,1.1435,17.4392,0.9093,3.8039,16.6229
6670,1.0864,1.8644,1.7792,1.7531,1.7451,15.5246
6671,2.0553,2.4385,3.7466,1.359,3.2536,12.4312
6672,4.1347,3.0627,11.8313,0.2722,2.8571,13.9238
6673,1.6086,3.3764,5.0324,1.0073,3.2951,11.4337
6674,0.7846,2.8157,18.7208,1.6717,0.3631,7.4302
6675,1.0927,1.8214,15.234,1.4939,4.6625,6.0644
6676,4.3644,4.4655,5.8292,1.8201,0.2028,3.9309
6677,3.352,0.4988,0.619,0.5326,0.1394,7.403
6678,1.6394,2.3847,16.0892,1.9566,1.2081,11.7495
6679,2.9988,3.9003,8.7697,0.6416,4.9681,11.957
6680,2.8741,0.3983,13.0264,0.1953,0.4554,13.8267
6681,3.4495,3.5561,6.096,1.0418,4.3851,17.6488
6682,1.5493,4.1166,3.286,0.3096,0.8795,13.211
6683,4.3898,3.3381,13.6686,1.3945,0.6346,3.8323
6684,1.8922,0.1634,9.2813,1.8111,3.917,1.0011
6685,3.6236,0.9827,5.0858,1.8506,4.2487,4.339
6686,0.5726,1.7764,3.1837,1.2534,3.9817,18.208
6687,2.177,1.2451,11.8194,1.117,1.281,11.5693
6688,2.0827,4.817,14.6482,1.9886,4.4112,17.0478
6689,2.9457,3.2928,6.0358,1.2009,0.4522,5.069
6690,0.8273,1.5552,14.8353,1.8622,1.7757,14.3427
6691,4.0556,4.6555,4.0709,1.8415,2.3696,14.7676
6692,1.48,3.7289,7.0991,0.6501,0.4319,16.2859
6693,3.5467,1.4946,15.0252,0.1261,2.9412,10.9425
6694,4.1145,1.9565,13.3728,0.9344,2.841,15.9735
6695,3.0284,1.0772,5.7752,1.7366,4.9617,18.7412
6696,3.834,4.8583,2.8816,1.6887,3.1462,19.1692
6697,3.4784,2.6348,1.3282,1.247,2.048,2.946
6698,2.0999,4.4907,16.8393,0.3977,3.9719,12.674
6699,4.1399,1.7978,1.9653,0.3044,1.7413,2.713
6700,1.8262,4.3181,2.7395,1.9139,2.7111,18.4904
6701,3.0705,0.364,5.1354,0.9007,0.3718,19.1302
6702,3.8543,4.9122,9.1906,1.3315,1.6811,10.242
6703,2.2053,4.569,15.9008,1.8211,2.6877,19.2179
6704,1.8625,1.8797,5.3259,1.7528,3.5413,15.4417
6705,2.5671,3.8961,11.0984,1.1771,0.5853,14.0708
6706,4.1808,3.7861,2.2623,1.027,4.0062,11.8248
6707,4.6846,4.5161,9.558,1.497,4.5108,8.4322
6708,2.9529,1.6055,3.964,0.7643,1.4771,19.2937
6709,3.4766,2.381,4.6182,1.2882,3.8502,4.3425
6710,4.5647,4.3385,7.6532,0.144,0.9837,16.1495
6711,0.9435,3.915,15.3463,1.6662,2.6647,7.6653
6712,1.5444,2.028,15.0077,1.9963,4.0084,15.1883
6713,3.6901,4.2441,8.592,1.9139,1.9938,3.6919
6714,4.2069,0.3301,2.8141,0.7838,0.2289,7.7794
6715,4.3566,3.932,5.9735,1.1091,2.7458,18.9499
6716,2.368,1.1132,10.3544,0.5488,4.239,11.3673
6717,0.902,1.502,17.4535,0.6757,0.6308,10.0794
6718,2.47,2.5168,19.381,0.969,0.2452,15.1661
6719,1.5383,2.3037,12.9307,1.5195,4.0643,8.6325
6720,1.8104,2.6508,7.3384,0.134,1.4089,10.114
6721,3.9752,2.7694,14.0223,0.8482,1.8853,11.4318
6722,0.8399,1.7245,7.0565,1.1573,0.5262,19.8047
6723,4.2241,0.9586,12.6967,0.5088,0.5734,16.2048
6724,2.4245,3.8656,5.2534,0.2491,3.1113,1.2761
6725,3.1823,2.0599,5.7063,1.1252,2.8059,15.7805
6726,0.9034,2.5786,1.9669,1.3118,1.5328,10.308
6727,2.0181,3.259,8.6928,1.3179,2.3184,4.998
6728,0.9037,4.5572,12.5544,0.7775,2.0022,17.1433
6729,4.8269,3.567,15.8815,0.551,3.5058,5.7754
6730,4.1327,0.3228,16.3018,0.5187,4.3242,6.748
6731,2.5683,4.2089,19.8527,0.177,3.849,1.7284
6732,1.5062,4.9478,2.2112,0.4509,0.1216,19.5633
6733,4.7005,2.4152,10.1162,1.6554,0.5878,16.01
6734,2.0507,4.851,10.6668,0.1058,2.2039,3.388
6735,1.2244,2.7819,16.1884,0.1834,4.2738,10.0462
6736,3.0342,2.3521,5.694,0.3413,1.2612,7.0666
6737,4.747,1.7239,1.8528,0.8985,4.4069,1.1317
6738,0.5172,3.322,6.6183,0.7341,0.6391,18.5808
6739,1.5716,1.2261,19.6866,0.4379,0.4558,16.8685
6740,4.723,0.6142,18.0391,0.3108,4.5758,19.7451
6741,1.2699,0.2335,8.2073,1.8838,0.8937,5.229
6742,1.0096,1.5327,17.5873,1.8314,2.3725,14.1386
6743,3.0658,2.0393,1.1387,1.5666,1.6972,2.8043
6744,4.3783,2.8052,6.627,0.5788,0.8234,8.9122
6745,2.647,1.5345,14.6728,0.715,3.1973,17.0114
6746,4.9755,4.9219,4.8183,1.3651,4.822,0.6571
6747,3.5563,1.5296,4.3686,0.6542,3.3247,9.8737
6748,0.8333,2.2608,17.3052,1.1082,1.8331,8.9766
6749,4.9677,0.6061,12.5111,1.3374,3.5878,13.9745
6750,2.3355,1.3771,19.7859,1.0865,0.8019,5.1396
6751,1.7933,0.3368,3.1261,0.8852,2.9421,3.879
6752,3.0105,2.8416,7.4445,0.761,2.4003,13.1886
6753,1.8694,3.7802,6.5687,1.5777,1.8639,13.0045
6754,0.8891,1.059,17.6626,1.5041,3.7239,15.1598
6755,0.5064,1.9028,5.4783,1.4228,0.6806,5.3148
6756,2.5231,0.1814,7.3925,0.8119,2.7107,0.8184
6757,4.2659,4.2137,3.2853,1.5739,4.2865,17.6202
6758,3.0754,3.9218,15.6203,1.9196,1.0884,4.5236
6759,4.9964,0.4099,5.1352,1.4091,1.3963,8.6504
6760,1.7908,1.8879,1.8322,0.875,3.3373,9.6358
6761,1.762,4.7809,8.9846,1.6133,3.8857,4.153
6762,1.2189,2.0209,8.1334,1.2577,1.4883,10.6562
6763,1.2383,2.6784,3.9634,1.7676,1.8635,18.3287
6764,1.7833,1.8407,3.1052,1.455,3.7256,5.7914
6765,4.0678,3.021,17.9829,1.5628,1.4981,10.6466
6766,4.5759,4.893,1.823,1.3681,3.3646,6.5196
6767,4.8879,4.9878,2.4366,0.2748,0.8783,19.6241
6768,1.5453,3.8961,5.2784,1.0217,2.1154,4.8017
6769,4.4658,2.0811,19.0804,0.2073,3.4745,2.6319
6770,1.9771,2.5227,2.165,0.9503,2.3535,3.2811
6771,1.0078,1.848,16.4123,1.4612,0.1943,7.6575
6772,4.4151,4.9293,17.895,0.9004,2.0913,11.2806
6773,3.3625,3.568,7.8684,0.1031,1.5128,13.5262
6774,1.2413,2.2998,6.2309,0.8016,0.5963,11.4671
6775,2.4342,0.1594,13.7089,0.2287,0.1448,18.158
6776,1.7927,2.6504,14.2014,1.5831,0.323,7.5257
6777,3.8156,4.9212,15.7096,1.5891,4.7513,14.3905
6778,2.5404,2.663,16.6961,1.6321,3.7741,5.7295
6779,4.9518,0.9939,5.7337,0.1576,4.7047,13.7943
6780,0.7464,0.2083,13.8958,0.1613,0.6624,18.5534
6781,2.0976,1.838,3.1307,1.8166,2.8955,19.5789
6782,2.6686,4.5993,10.4593,0.335,0.5081,14.729
6783,2.7641,4.9831,12.4513,1.3732,0.2314,18.8777
6784,1.9217,4.7323,3.6538,1.6114,2.3848,13.7685
6785,3.7816,3.6742,1.9919,0.9509,3.2671,19.2823
6786,4.4364,2.8349,4.2976,1.1383,0.4115,18.0114
6787,4.7242,2.9944,8.7015,0.532,1.8888,2.5791
6788,4.1229,2.7411,17.8129,1.8548,0.5418,9.7454
6789,4.3276,3.5645,10.8723,0.6734,1.8743,7.2753
6790,2.9775,2.1525,15.0956,0.5138,2.4118,1.0265
6791,4.2165,3.3791,3.8958,1.0983,1.7539,9.6046
6792,1.8658,0.6959,2.5666,0.462,2.9236,3.3928
6793,2.2932,1.4019,5.1725,1.4047,2.9645,1.2108
6794,1.9261,4.1964,6.6207,1.0787,1.7314,9.1779
6795,2.6032,4.5284,11.188,0.3808,2.009,5.0315
6796,1.7851,2.7411,17.6842,0.2278,2.2612,18.7382
6797,4.8273,0.255,8.8088,0.3602,1.9407,16.3476
6798,1.9078,4.6422,10.6166,0.3596,3.8272,19.1453
6799,0.9412,3.5401,0.59,0.6944,0.7857,17.6886
6800,2.8707,2.1287,1.1496,1.6832,4.2995,14.6951
6801,0.7569,3.0321,2.1335,0.2089,1.7231,12.154
6802,0.9974,2.2059,14.1304,0.3434,3.6474,1.7764
6803,1.4873,2.3802,9.9807,0.6755,4.4305,5.6832
6804,2.5896,4.4454,4.2627,1.1513,4.4485,14.3595
6805,2.4496,0.8893,12.0557,1.5495,2.3166,8.323
6806,4.0986,0.608,11.1199,1.8503,1.3574,6.8446
6807,3.8276,0.1134,2.2316,0.883,3.0682,2.5274
6808,2.4184,1.6386,12.988,0.3011,1.0014,1.8686
6809,2.0017,0.8223,15.4595,0.5057,3.9739,4.5948
6810,1.9241,1.1779,6.0878,0.6458,3.5856,16.7742
6811,3.983,0.1551,13.906,1.5936,3.9986,13.4288
6812,0.7343,1.2133,4.3945,1.4046,2.223,7.1485
6813,0.5577,1.7303,15.2562,0.4971,2.8314,1.6901
6814,4.0799,0.2547,18.2796,1.6936,0.6034,4.1733
6815,2.6472,3.0787,9.1164,1.7324,3.4695,9.2728
6816,1.089,2.8871,5.2701,1.7766,2.4855,3.4877
6817,1.56,0.5755,8.2839,0.6225,2.5953,15.3707
6818,4.6963,3.0155,5.3765,0.3541,4.2503,15.8784
6819,4.3678,4.9934,0.5242,0.2975,3.8844,3.169
6820,3.694,4.7279,13.1839,0.8602,2.7224,14.674
6821,2.67,0.1131,1.3293,0.9157,1.84,10.4887
6822,2.8415,3.9974,4.6026,1.7496,2.2875,19.2664
6823,4.8886,1.8327,14.5878,0.6087,1.8187,15.8576
6824,4.846,0.4119,13.4816,1.2911,0.8429,11.9133
6825,1.4687,1.5503,1.9299,1.5976,3.2643,12.2705
6826,4.15,1.6765,13.3711,0.6114,3.4884,3.9888
6827,1.3876,2.6639,18.6462,0.6076,4.8589,17.9257
6828,1.4609,3.3393,1.9528,1.3714,2.333,11.4053
6829,3.5424,3.7704,8.6059,1.4797,4.9867,11.6949
6830,2.3225,1.3049,14.724,1.9235,1.0168,11.7207
6831,4.6919,1.6767,13.5206,1.7149,3.3175,5.8866
6832,0.9005,1.6111,4.917,1.6619,4.9744,16.3358
6833,2.8019,1.8774,3.6798,1.4154,3.2376,17.3156
6834,4.6333,4.9983,15.7928,0.3251,2.3166,6.1138
6835,4.5685,3.9119,19.1468,1.6376,2.6247,9.1145
6836,1.2044,4.8775,15.4679,1.8771,4.243,3.9934
6837,2.1499,3.4962,19.2825,0.8424,4.7016,5.1516
6838,3.286,2.0907,12.2974,0.696,2.3242,7.0517
6839,1.2173,2.0097,18.6174,1.0927,3.8846,18.0888
6840,4.8561,2.494,13.9635,1.9173,4.6751,12.7101
6841,4.6164,2.1427,18.2233,0.1966,1.4824,11.965
6842,1.2513,4.1588,3.651,1.4469,2.5165,18.9618
6843,1.0452,2.3785,16.4035,1.6479,4.9775,15.9307
6844,0.8843,1.5485,4.3365,1.5986,1.832,0.813
6845,4.5925,3.8968,1.0349,1.1769,3.1365,2.9245
6846,1.3713,4.2867,10.5929,1.8491,3.3195,5.3312
6847,2.3733,2.1601,6.7059,0.3556,0.8553,6.4265
6848,2.5198,3.3723,1.3489,0.5658,4.0524,16.7642
6849,3.1955,0.3881,19.6159,0.6832,2.1232,15.5132
6850,0.8228,2.6944,13.4961,0.1165,2.5516,3.3362
6851,1.5204,0.3204,18.0853,0.8043,3.2499,10.9117
6852,4.6917,0.243,19.9821,0.4053,2.1114,2.6278
6853,4.5878,3.1033,8.1434,1.4768,1.6929,3.8712
6854,4.0158,1.5863,5.4674,0.8884,2.7775,5.2227
6855,0.5873,3.7384,4.0857,1.4385,1.7992,18.1533
6856,1.9715,4.4908,10.5461,0.6579,2.2272,7.6316
6857,3.3258,0.783,12.3186,0.3506,0.6312,18.3584
6858,1.7384,3.6502,9.7122,0.3508,4.2392,15.1394
6859,4.5931,2.6211,8.0514,0.4862,2.1174,15.1134
6860,3.3525,0.6494,3.7813,0.3189,0.5056,16.1681
6861,0.8236,3.2928,9.1163,0.519,3.9711,2.3713
6862,4.5905,3.0864,2.1622,1.2002,0.1962,16.385
6863,4.8099,2.6266,17.3684,0.587,3.0368,5.4254
6864,0.8497,4.6397,1.4146,0.7516,3.5431,19.6867
6865,2.8956,2.6533,7.9226,0.2002,1.0369,17.04
6866,1.8651,4.9535,2.4527,1.7952,0.7432,19.9346
6867,2.2678,2.5952,15.6121,0.3625,0.658,18.7738
6868,1.3084,0.6677,6.5984,0.7625,4.9673,7.5147
6869,3.1013,2.4053,2.7056,0.821,3.7999,18.863
6870,4.8109,0.9934,10.8641,1.567,1.6323,6.9395
6871,2.7638,3.026,18.3674,1.0187,1.7442,13.3558
6872,0.8731,3.4963,18.2186,0.8276,3.2783,16.4637
6873,3.29,2.3953,5.3682,1.4222,2.3426,7.9484
6874,2.031,0.5787,14.5334,1.2343,1.4296,4.4754
6875,4.3517,2.3963,1.0905,0.2485,0.3798,17.9503
6876,2.4561,0.4991,3.0711,0.6941,3.9409,2.514
6877,1.3678,3.4424,10.2397,1.9594,4.4523,7.617
6878,1.36,3.9728,4.9608,1.0183,1.1092,11.0412
6879,3.9594,4.8157,16.0661,0.906,0.4107,16.1926
6880,1.6951,0.8291,18.6559,0.3848,0.6813,17.4425
6881,3.9526,2.7089,0.5845,1.6942,2.1299,10.4768
6882,1.4265,2.8809,5.0419,0.3533,1.5668,11.6812
6883,1.9476,4.6201,9.0713,0.2997,0.4599,17.1496
6884,2.5947,3.1737,11.48,0.9341,2.3289,9.6067
6885,4.7444,0.813,18.3601,0.9296,1.0992,11.4025
6886,4.6928,2.2381,17.8917,1.9648,0.428,0.8596
6887,1.4309,3.3083,12.9248,0.3423,3.3238,19.0468
6888,2.112,3.5314,5.5191,1.0193,2.9053,11.5522
6889,1.1723,4.3291,15.7741,0.4824,4.1493,14.6877
6890,2.7949,0.9845,4.4517,1.4334,1.5812,5.3343
6891,2.5726,4.7626,19.3209,0.8442,0.7655,13.3035
6892,4.5534,0.3898,0.6139,1.3321,1.8648,9.4705
6893,4.685,4.9204,11.6105,0.743,3.9157,2.6932
6894,2.2261,4.3031,2.2237,1.1726,1.2845,16.6882
6895,2.7128,3.3353,8.4482,0.9914,1.3495,16.8671
6896,4.5331,3.7015,12.8812,0.8113,0.8232,1.7424
6897,4.1302,0.4562,13.9472,1.1213,4.9339,8.1168
6898,0.5165,0.3033,15.8186,0.8292,4.8398,5.9881
6899,1.9403,0.5987,12.0699,1.6314,3.3245,10.5692
6900,2.398,0.5281,5.4007,1.041,1.1526,10.0315
6901,1.5337,2.7822,17.8404,1.8159,3.8561,13.3003
6902,1.3981,1.1557,16.3166,0.5233,2.9613,5.326
6903,0.67,4.315,3.621,0.313,3.7729,4.8231
6904,3.3952,2.2842,16.617,0.8238,4.316,14.6049
6905,1.6813,3.508,19.4666,0.449,1.6605,19.536
6906,0.7356,3.2991,12.9258,0.8469,4.5771,18.9537
6907,1.5394,1.6673,5.9952,0.4941,4.5029,15.9437
6908,4.1086,1.2915,12.3286,1.7496,2.7809,1.8156
6909,4.3317,1.778,7.1794,1.179,3.4544,5.1366
6910,2.6738,4.0036,13.681,1.0454,2.1141,13.9477
6911,2.3723,2.9728,11.1236,1.5967,3.31,6.2676
6912,4.9003,1.3423,18.6251,0.3477,2.7899,8.1757
6913,1.4025,4.1074,12.5492,1.7283,1.6818,19.0968
6914,1.4691,0.3683,4.6726,1.0183,1.6819,2.183
6915,1.8134,3.526,14.6396,0.3592,3.2932,17.2943
6916,1.2774,2.2516,6.3671,1.6569,4.7875,1.4808
6917,2.2071,3.6833,5.8116,0.9755,1.0876,7.0899
6918,4.5988,4.6446,8.1396,1.2487,2.0234,11.3303
6919,3.2691,3.7752,0.7339,1.7979,4.048,7.4495
6920,2.3538,2.2656,19.3982,1.7923,0.7028,19.1646
6921,4.7048,0.8398,10.8805,1.7964,4.9714,10.3353
6922,0.7181,4.0511,15.5831,0.8921,3.4229,14.8099
