ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
8558,6.26,7.34,6.74,0.66,0.46,0.28,3.91 GHz,0.17,0.32
8559,5.99,7.34,7.39,0.53,0.54,0.21,2.81 GHz,0.32,0.33
8560,6.42,7.24,7.29,0.59,0.6,0.17,1.05 GHz,0.34,0.17
8561,6.27,7.11,7.13,0.66,0.59,0.21,1.66 GHz,0.33,0.34
8562,6.13,7.4,7.21,0.55,0.49,0.22,2.35 GHz,0.16,0.22
8563,5.7,6.99,6.78,0.56,0.54,0.27,830.00 MHz,0.32,0.21
8564,5.66,7.25,6.65,0.69,0.49,0.15,2.03 GHz,0.17,0.19
8565,6.08,6.69,7.45,0.51,0.49,0.26,2.22 GHz,0.15,0.22
8566,5.98,6.77,7.35,0.6,0.6,0.24,1.06 GHz,0.16,0.34
8567,6.1,7.44,6.87,0.63,0.44,0.17,2.10 GHz,0.3,0.32
8568,5.5,7.5,6.7,0.64,0.54,0.2,1.36 GHz,0.34,0.19
8569,5.56,6.95,7.07,0.57,0.54,0.16,2.35 GHz,0.24,0.32
8570,5.57,7.49,7.09,0.57,0.58,0.29,1.32 GHz,0.34,0.26
8571,6.46,6.6,6.52,0.58,0.57,0.27,1.38 GHz,0.18,0.33
8572,5.85,6.57,7.08,0.61,0.49,0.18,1.84 GHz,0.33,0.26
8573,6.31,6.92,7.18,0.64,0.46,0.16,1.55 GHz,0.18,0.16
8574,6.29,6.68,7.22,0.51,0.43,0.27,2.78 GHz,0.34,0.27
8575,5.71,6.91,6.83,0.66,0.41,0.18,3.63 GHz,0.25,0.3
8576,5.74,7.42,7.31,0.54,0.5,0.26,1.99 GHz,0.2,0.24
8577,5.99,7.16,6.98,0.58,0.53,0.27,3.46 GHz,0.22,0.28
8578,5.82,7.09,6.75,0.56,0.53,0.22,3.78 GHz,0.28,0.32
8579,6.28,6.91,6.85,0.67,0.41,0.29,3.26 GHz,0.23,0.16
8580,5.83,6.74,6.97,0.64,0.47,0.23,1.22 GHz,0.18,0.19
8581,6.02,7.49,7.11,0.66,0.53,0.15,3.53 GHz,0.18,0.28
8582,6.47,6.59,6.89,0.61,0.54,0.29,1.53 GHz,0.25,0.16
8583,6.08,6.59,6.61,0.61,0.48,0.18,960.00 MHz,0.28,0.31
8584,6.33,6.89,7.41,0.53,0.49,0.27,3.95 GHz,0.17,0.27
8585,6.02,6.68,7.0,0.6,0.43,0.17,2.26 GHz,0.34,0.17
8586,5.99,7.0,7.42,0.66,0.44,0.19,1.50 GHz,0.22,0.21
8587,5.52,7.02,6.57,0.58,0.45,0.27,1.40 GHz,0.22,0.33
8588,5.58,7.2,7.1,0.56,0.44,0.19,1.43 GHz,0.32,0.28
8589,6.09,7.15,6.99,0.51,0.43,0.14,2.63 GHz,0.33,0.19
8590,6.0,7.13,7.25,0.57,0.59,0.28,1.46 GHz,0.31,0.27
8591,5.99,6.85,6.99,0.54,0.47,0.25,2.92 GHz,0.15,0.3
8592,5.68,7.43,7.47,0.53,0.53,0.23,3.31 GHz,0.24,0.23
8593,6.38,7.23,7.17,0.58,0.45,0.13,1.73 GHz,0.16,0.2
8594,6.22,6.72,7.23,0.61,0.55,0.24,1.21 GHz,0.17,0.33
8595,5.56,6.68,7.34,0.59,0.51,0.27,3.33 GHz,0.18,0.19
8596,5.94,7.18,6.73,0.52,0.48,0.22,1.61 GHz,0.27,0.16
8597,6.29,6.91,6.57,0.69,0.55,0.14,2.55 GHz,0.33,0.25
8598,6.49,7.02,7.47,0.59,0.49,0.18,1.05 GHz,0.35,0.24
8599,6.33,6.51,6.68,0.7,0.57,0.13,2.48 GHz,0.18,0.34
8600,6.11,6.67,7.17,0.58,0.59,0.27,2.38 GHz,0.33,0.31
8601,6.21,6.87,7.44,0.57,0.57,0.16,2.75 GHz,0.31,0.29
8602,5.75,6.59,7.15,0.51,0.52,0.17,2.06 GHz,0.32,0.26
8603,5.82,7.47,7.17,0.68,0.59,0.19,3.37 GHz,0.15,0.32
8604,5.92,6.96,6.53,0.6,0.57,0.15,2.76 GHz,0.23,0.21
8605,5.62,7.36,6.77,0.51,0.46,0.29,3.39 GHz,0.22,0.33
8606,5.9,7.24,6.63,0.55,0.43,0.12,2.87 GHz,0.32,0.22
8607,5.99,7.45,7.01,0.58,0.43,0.18,2.95 GHz,0.34,0.29
8608,5.77,6.61,7.42,0.6,0.53,0.25,1.95 GHz,0.33,0.26
8609,6.01,6.62,6.6,0.51,0.52,0.25,1.20 GHz,0.34,0.21
8610,6.49,7.26,6.7,0.53,0.57,0.15,3.40 GHz,0.21,0.23
8611,5.99,7.0,6.58,0.57,0.41,0.22,3.80 GHz,0.22,0.27
8612,5.79,7.21,6.69,0.67,0.54,0.12,1.43 GHz,0.34,0.29
8613,5.53,6.92,7.1,0.63,0.6,0.12,2.93 GHz,0.29,0.2
8614,6.43,7.03,7.27,0.68,0.48,0.21,1.20 GHz,0.28,0.3
8615,5.67,6.82,7.4,0.68,0.48,0.15,3.09 GHz,0.18,0.19
8616,6.28,7.22,7.46,0.6,0.46,0.23,3.68 GHz,0.28,0.25
8617,5.53,6.6,6.71,0.6,0.5,0.14,1.64 GHz,0.21,0.16
8618,5.95,6.8,6.51,0.59,0.42,0.15,3.57 GHz,0.35,0.31
8619,5.86,7.28,7.48,0.64,0.57,0.27,3.10 GHz,0.17,0.35
8620,6.4,7.32,6.92,0.59,0.48,0.13,1.14 GHz,0.24,0.33
8621,5.57,6.72,6.79,0.68,0.56,0.12,1.16 GHz,0.19,0.32
8622,6.24,7.0,6.67,0.51,0.48,0.11,2.37 GHz,0.29,0.25
8623,5.6,7.24,7.5,0.7,0.56,0.12,1.44 GHz,0.23,0.21
8624,5.91,6.61,6.65,0.54,0.6,0.15,2.76 GHz,0.24,0.33
8625,5.98,6.55,7.27,0.54,0.41,0.1,1.61 GHz,0.27,0.26
8626,5.51,7.18,7.16,0.64,0.5,0.11,1.57 GHz,0.29,0.22
8627,6.11,7.18,6.79,0.65,0.44,0.17,3.36 GHz,0.32,0.26
8628,5.73,6.83,6.5,0.63,0.46,0.21,2.88 GHz,0.27,0.33
8629,5.97,7.32,7.01,0.64,0.44,0.17,3.24 GHz,0.33,0.16
8630,5.77,6.92,7.13,0.54,0.59,0.25,3.12 GHz,0.34,0.33
8631,6.42,7.42,6.51,0.66,0.4,0.28,2.77 GHz,0.16,0.27
8632,6.22,7.15,6.63,0.69,0.58,0.26,2.58 GHz,0.26,0.34
8633,5.65,6.81,6.89,0.51,0.59,0.11,2.32 GHz,0.22,0.16
8634,6.17,7.4,7.28,0.59,0.5,0.27,3.49 GHz,0.27,0.33
8635,5.75,7.48,6.85,0.53,0.51,0.25,3.56 GHz,0.22,0.29
8636,6.26,6.83,6.64,0.69,0.51,0.24,3.63 GHz,0.29,0.28
8637,5.63,6.73,7.15,0.55,0.51,0.26,3.22 GHz,0.33,0.32
8638,5.81,7.02,6.51,0.61,0.59,0.14,3.72 GHz,0.19,0.23
8639,5.97,6.91,7.42,0.68,0.45,0.18,2.62 GHz,0.3,0.28
8640,5.63,7.41,7.29,0.51,0.58,0.3,3.64 GHz,0.35,0.18
8641,6.17,7.1,7.09,0.64,0.53,0.12,1.67 GHz,0.23,0.31
8642,5.72,7.47,6.65,0.56,0.55,0.11,2.88 GHz,0.22,0.2
8643,5.86,6.98,7.24,0.55,0.51,0.12,2.69 GHz,0.27,0.25
8644,5.51,6.89,6.66,0.69,0.53,0.15,1.35 GHz,0.31,0.22
8645,6.45,7.28,6.81,0.51,0.4,0.22,2.40 GHz,0.32,0.26
8646,6.24,7.04,7.3,0.69,0.57,0.24,1.65 GHz,0.31,0.34
8647,6.42,7.2,7.05,0.54,0.56,0.24,3.62 GHz,0.27,0.31
8648,6.41,7.13,6.53,0.61,0.6,0.21,1.42 GHz,0.17,0.15
8649,6.19,6.63,7.01,0.56,0.5,0.19,1.89 GHz,0.2,0.27
8650,5.72,6.65,6.62,0.61,0.52,0.2,3.91 GHz,0.18,0.31
8651,5.57,7.44,6.79,0.62,0.4,0.24,3.92 GHz,0.32,0.16
8652,6.05,6.56,6.89,0.53,0.45,0.2,2.48 GHz,0.21,0.18
8653,6.31,7.11,7.38,0.51,0.54,0.28,2.84 GHz,0.2,0.29
8654,6.49,6.59,7.27,0.66,0.59,0.29,1.81 GHz,0.29,0.15
8655,6.41,6.91,7.19,0.67,0.48,0.24,1.68 GHz,0.32,0.34
8656,5.96,6.72,7.33,0.61,0.47,0.12,1.10 GHz,0.19,0.24
8657,6.35,6.55,7.47,0.53,0.42,0.24,1.27 GHz,0.3,0.28
8658,6.29,6.51,7.07,0.7,0.57,0.21,2.75 GHz,0.22,0.28
8659,6.15,7.4,6.78,0.61,0.53,0.18,1.47 GHz,0.2,0.35
8660,6.16,6.91,6.65,0.6,0.5,0.2,940.00 MHz,0.25,0.16
8661,6.28,6.69,7.37,0.65,0.49,0.11,3.20 GHz,0.33,0.33
8662,5.51,6.69,7.06,0.58,0.42,0.14,1.61 GHz,0.2,0.35
8663,5.74,6.75,6.57,0.57,0.58,0.1,3.59 GHz,0.28,0.27
8664,5.73,6.53,7.22,0.69,0.43,0.23,1.88 GHz,0.21,0.25
8665,5.68,7.43,7.08,0.61,0.57,0.24,2.69 GHz,0.17,0.22
8666,6.38,7.36,6.71,0.69,0.5,0.27,1.27 GHz,0.25,0.28
8667,6.07,6.72,6.62,0.64,0.52,0.15,3.60 GHz,0.32,0.25
8668,6.34,7.26,7.43,0.57,0.46,0.19,1.67 GHz,0.16,0.29
8669,6.28,7.24,6.66,0.6,0.46,0.23,1.92 GHz,0.16,0.26
8670,6.15,6.57,7.15,0.51,0.49,0.14,1.11 GHz,0.15,0.33
8671,5.7,7.46,7.37,0.57,0.42,0.17,2.64 GHz,0.29,0.34
8672,5.75,7.38,6.5,0.62,0.51,0.1,3.28 GHz,0.16,0.16
8673,6.24,7.32,6.87,0.54,0.46,0.26,1.85 GHz,0.18,0.31
8674,6.46,6.57,6.55,0.68,0.46,0.11,1.09 GHz,0.27,0.25
8675,6.48,7.43,6.9,0.57,0.55,0.29,3.48 GHz,0.32,0.2
8676,5.96,7.16,7.31,0.62,0.59,0.15,2.15 GHz,0.21,0.32
8677,5.78,7.17,7.43,0.65,0.47,0.19,3.52 GHz,0.2,0.26
8678,5.51,7.24,6.73,0.65,0.59,0.28,2.18 GHz,0.23,0.25
8679,5.87,6.62,7.2,0.6,0.59,0.27,870.00 MHz,0.22,0.17
8680,5.73,7.02,6.6,0.67,0.47,0.25,1.64 GHz,0.23,0.31
8681,5.99,7.15,6.8,0.61,0.43,0.27,1.06 GHz,0.31,0.26
8682,5.84,7.03,7.32,0.62,0.43,0.22,3.87 GHz,0.31,0.25
8683,5.79,6.59,7.21,0.51,0.4,0.13,2.24 GHz,0.29,0.16
8684,5.78,7.33,7.41,0.64,0.52,0.16,1.71 GHz,0.33,0.22
8685,6.03,7.26,6.82,0.59,0.49,0.12,2.29 GHz,0.19,0.19
8686,5.53,6.6,7.04,0.51,0.51,0.17,1.58 GHz,0.19,0.35
8687,5.84,7.39,7.27,0.67,0.51,0.29,2.65 GHz,0.16,0.23
8688,5.68,7.32,6.69,0.56,0.49,0.25,1.94 GHz,0.19,0.26
8689,6.08,7.47,6.66,0.66,0.49,0.24,870.00 MHz,0.17,0.16
8690,6.2,7.16,6.91,0.68,0.52,0.25,3.57 GHz,0.18,0.15
8691,6.14,6.84,7.22,0.51,0.52,0.25,3.80 GHz,0.32,0.3
8692,6.33,6.97,6.91,0.57,0.57,0.26,3.02 GHz,0.26,0.22
8693,6.2,6.9,7.14,0.51,0.44,0.28,1.39 GHz,0.26,0.26
8694,6.21,7.4,6.61,0.65,0.58,0.22,3.26 GHz,0.17,0.21
8695,5.62,7.1,7.26,0.66,0.56,0.15,1.35 GHz,0.2,0.27
8696,5.91,7.31,7.13,0.51,0.49,0.16,960.00 MHz,0.26,0.17
8697,5.53,6.62,7.27,0.57,0.58,0.21,1.33 GHz,0.21,0.31
8698,6.22,6.68,6.73,0.57,0.56,0.22,810.00 MHz,0.18,0.28
8699,6.24,6.67,7.08,0.63,0.55,0.18,1.57 GHz,0.24,0.29
8700,5.87,7.29,6.63,0.69,0.41,0.17,1.28 GHz,0.27,0.28
8701,5.87,7.36,7.06,0.6,0.55,0.23,1.27 GHz,0.19,0.19
8702,5.56,6.62,6.98,0.55,0.43,0.13,3.90 GHz,0.33,0.34
8703,5.86,7.46,7.14,0.62,0.58,0.16,1.42 GHz,0.32,0.29
8704,6.29,7.5,7.42,0.51,0.47,0.27,3.15 GHz,0.21,0.32
8705,6.14,6.64,7.17,0.52,0.53,0.19,1.36 GHz,0.21,0.17
8706,5.92,6.66,6.54,0.7,0.48,0.12,3.40 GHz,0.22,0.23
8707,5.98,6.71,6.82,0.6,0.56,0.22,1.99 GHz,0.33,0.25
8708,6.22,7.31,6.62,0.58,0.54,0.11,1.67 GHz,0.3,0.31
8709,5.75,7.3,6.74,0.52,0.56,0.3,3.64 GHz,0.2,0.29
8710,5.71,7.34,6.58,0.55,0.48,0.11,860.00 MHz,0.31,0.26
8711,6.33,7.34,6.94,0.67,0.48,0.21,2.12 GHz,0.22,0.31
8712,5.97,6.98,6.98,0.58,0.57,0.2,1.33 GHz,0.22,0.34
8713,5.58,6.75,7.16,0.62,0.47,0.27,3.03 GHz,0.19,0.34
8714,6.38,7.26,7.01,0.62,0.58,0.16,3.11 GHz,0.32,0.21
8715,5.74,7.25,7.19,0.66,0.57,0.15,3.39 GHz,0.29,0.28
8716,6.37,6.52,7.22,0.54,0.48,0.26,1.26 GHz,0.2,0.28
8717,6.46,6.62,7.28,0.56,0.46,0.23,1.22 GHz,0.23,0.31
8718,6.06,7.31,6.62,0.67,0.48,0.22,1.07 GHz,0.28,0.17
8719,5.91,6.55,6.76,0.67,0.58,0.17,1.46 GHz,0.28,0.31
8720,6.32,7.13,6.62,0.66,0.46,0.23,2.64 GHz,0.33,0.3
8721,6.01,6.74,7.09,0.64,0.48,0.21,3.17 GHz,0.33,0.29
8722,5.97,6.89,6.56,0.53,0.5,0.24,1.42 GHz,0.29,0.29
8723,5.94,7.21,7.48,0.61,0.42,0.25,2.31 GHz,0.26,0.32
8724,6.34,7.27,7.42,0.64,0.42,0.23,2.03 GHz,0.17,0.34
8725,6.14,7.32,7.15,0.55,0.45,0.2,1.12 GHz,0.35,0.17
8726,5.59,7.2,7.29,0.67,0.42,0.16,2.17 GHz,0.22,0.17
8727,5.6,7.07,7.49,0.63,0.54,0.21,2.05 GHz,0.27,0.35
8728,6.16,6.7,6.8,0.65,0.42,0.15,1.51 GHz,0.24,0.19
8729,6.02,7.27,6.78,0.63,0.45,0.26,890.00 MHz,0.27,0.19
8730,5.78,7.47,7.01,0.54,0.55,0.15,3.02 GHz,0.3,0.35
8731,6.35,6.8,7.2,0.69,0.43,0.11,1.17 GHz,0.21,0.26
8732,6.25,7.31,6.81,0.58,0.43,0.19,3.22 GHz,0.22,0.29
8733,6.47,6.84,7.0,0.64,0.43,0.26,2.01 GHz,0.21,0.3
8734,5.91,7.17,7.19,0.5,0.6,0.15,3.67 GHz,0.18,0.25
8735,6.05,7.22,6.5,0.59,0.54,0.11,2.09 GHz,0.18,0.18
8736,5.55,6.84,7.29,0.62,0.5,0.14,3.63 GHz,0.16,0.23
8737,6.14,7.41,7.22,0.54,0.53,0.1,2.88 GHz,0.33,0.29
8738,6.0,7.17,6.58,0.64,0.56,0.15,3.28 GHz,0.31,0.35
8739,6.34,6.89,6.73,0.6,0.49,0.14,1.15 GHz,0.19,0.21
8740,5.55,7.33,6.9,0.6,0.51,0.17,3.46 GHz,0.34,0.29
8741,5.92,7.33,6.91,0.55,0.44,0.28,1.84 GHz,0.19,0.26
8742,6.01,7.36,6.86,0.6,0.52,0.24,1.28 GHz,0.24,0.19
8743,5.75,7.45,6.62,0.62,0.49,0.16,1.36 GHz,0.28,0.35
8744,5.91,7.24,6.87,0.62,0.52,0.2,880.00 MHz,0.16,0.31
8745,5.92,6.88,7.33,0.57,0.4,0.25,2.40 GHz,0.32,0.21
8746,5.91,7.41,6.79,0.61,0.57,0.29,2.20 GHz,0.22,0.32
8747,6.17,6.74,7.17,0.66,0.47,0.18,810.00 MHz,0.22,0.2
8748,5.8,7.3,6.99,0.54,0.59,0.17,1.15 GHz,0.22,0.28
8749,6.27,6.51,6.94,0.61,0.55,0.21,1.80 GHz,0.25,0.18
8750,5.89,6.93,7.42,0.57,0.45,0.28,3.06 GHz,0.33,0.19
8751,6.09,7.23,7.42,0.64,0.42,0.12,2.30 GHz,0.3,0.34
8752,5.91,6.77,6.91,0.65,0.51,0.24,3.51 GHz,0.22,0.27
8753,6.1,6.96,7.24,0.51,0.47,0.15,1.55 GHz,0.16,0.34
8754,5.59,6.6,7.17,0.61,0.56,0.13,1.55 GHz,0.19,0.29
8755,6.35,6.56,6.66,0.51,0.47,0.22,2.71 GHz,0.31,0.27
8756,6.06,6.96,7.12,0.66,0.56,0.22,2.84 GHz,0.22,0.33
8757,5.98,6.74,7.41,0.5,0.56,0.27,2.36 GHz,0.2,0.24
8758,6.09,7.16,7.24,0.63,0.54,0.23,3.92 GHz,0.16,0.23
8759,5.91,6.91,6.84,0.52,0.52,0.29,3.76 GHz,0.29,0.19
8760,6.06,6.52,7.15,0.62,0.51,0.26,3.43 GHz,0.34,0.24
8761,5.81,6.72,7.19,0.62,0.5,0.19,2.15 GHz,0.35,0.34
8762,5.75,6.64,6.51,0.59,0.52,0.17,1.87 GHz,0.33,0.26
8763,5.65,7.08,6.62,0.5,0.48,0.15,1.96 GHz,0.24,0.34
8764,5.8,6.77,7.46,0.51,0.56,0.24,1.42 GHz,0.23,0.24
8765,6.23,7.37,7.08,0.64,0.4,0.12,2.47 GHz,0.28,0.21
8766,5.69,7.38,7.24,0.53,0.54,0.3,2.86 GHz,0.21,0.19
8767,5.57,6.6,6.68,0.67,0.5,0.11,2.57 GHz,0.34,0.21
8768,6.49,6.63,7.07,0.59,0.51,0.26,1.39 GHz,0.26,0.17
8769,6.11,7.32,7.41,0.61,0.47,0.2,3.21 GHz,0.3,0.26
8770,6.41,6.77,6.82,0.65,0.54,0.17,1.56 GHz,0.22,0.24
8771,6.11,6.65,7.21,0.59,0.48,0.2,1.70 GHz,0.26,0.33
8772,6.18,6.71,7.5,0.58,0.49,0.27,1.93 GHz,0.29,0.2
8773,5.61,6.77,7.32,0.7,0.51,0.2,2.21 GHz,0.22,0.21
8774,6.21,7.3,7.22,0.55,0.41,0.25,2.80 GHz,0.17,0.23
8775,5.9,6.73,6.6,0.54,0.53,0.18,1.90 GHz,0.19,0.34
8776,5.8,6.75,6.81,0.65,0.49,0.2,1.35 GHz,0.31,0.3
8777,6.31,7.3,6.62,0.52,0.52,0.16,3.53 GHz,0.31,0.32
8778,6.34,6.8,6.64,0.54,0.54,0.16,2.64 GHz,0.17,0.24
8779,6.21,7.28,7.24,0.66,0.43,0.17,1.78 GHz,0.24,0.34
8780,5.66,7.31,6.89,0.53,0.44,0.24,1.71 GHz,0.33,0.27
8781,6.48,6.69,6.5,0.53,0.49,0.14,1.11 GHz,0.17,0.26
8782,6.14,6.71,6.94,0.56,0.44,0.15,3.36 GHz,0.23,0.3
8783,6.09,6.87,7.3,0.7,0.45,0.19,1.00 GHz,0.29,0.19
8784,6.09,6.57,6.56,0.53,0.56,0.18,1.96 GHz,0.15,0.25
8785,6.28,7.29,6.66,0.51,0.6,0.23,1.50 GHz,0.19,0.26
8786,5.94,7.24,7.2,0.59,0.4,0.12,1.43 GHz,0.29,0.28
8787,6.11,7.14,6.98,0.52,0.51,0.2,1.66 GHz,0.31,0.25
8788,6.08,7.15,6.51,0.54,0.5,0.16,3.32 GHz,0.21,0.33
8789,5.97,6.97,7.07,0.66,0.52,0.3,890.00 MHz,0.24,0.28
8790,6.49,6.66,7.4,0.56,0.43,0.3,1.40 GHz,0.16,0.31
8791,5.82,7.03,7.02,0.56,0.6,0.16,3.96 GHz,0.28,0.24
8792,5.53,7.07,6.86,0.63,0.59,0.17,1.15 GHz,0.29,0.34
8793,6.03,7.41,6.99,0.51,0.47,0.18,1.70 GHz,0.31,0.29
8794,6.12,6.62,6.69,0.61,0.57,0.13,3.89 GHz,0.3,0.24
8795,5.9,7.42,7.42,0.59,0.4,0.23,2.90 GHz,0.19,0.22
8796,6.06,7.39,7.14,0.55,0.43,0.2,1.58 GHz,0.34,0.27
8797,5.79,7.08,6.62,0.64,0.57,0.29,1.48 GHz,0.35,0.32
8798,5.69,7.27,6.97,0.64,0.57,0.14,2.22 GHz,0.15,0.24
8799,6.25,7.01,6.7,0.54,0.53,0.24,1.75 GHz,0.33,0.24
8800,6.35,6.8,7.25,0.56,0.6,0.14,3.45 GHz,0.21,0.3
8801,6.27,6.92,7.02,0.61,0.56,0.21,2.05 GHz,0.28,0.22
8802,6.37,7.02,7.4,0.64,0.45,0.23,3.49 GHz,0.28,0.32
8803,5.62,7.49,7.22,0.58,0.45,0.17,1.26 GHz,0.27,0.28
8804,5.92,7.29,6.81,0.64,0.46,0.17,1.29 GHz,0.23,0.24
8805,6.04,7.23,6.84,0.56,0.51,0.18,3.42 GHz,0.24,0.18
8806,6.44,6.72,6.75,0.62,0.48,0.23,3.59 GHz,0.28,0.18
8807,6.18,7.3,7.12,0.61,0.42,0.11,1.06 GHz,0.16,0.2
8808,5.89,7.27,6.84,0.67,0.47,0.21,1.65 GHz,0.29,0.21
8809,5.85,7.02,6.67,0.64,0.46,0.15,2.70 GHz,0.23,0.19
8810,6.02,6.75,7.39,0.59,0.59,0.29,1.13 GHz,0.28,0.17
8811,6.24,7.33,6.82,0.69,0.57,0.19,3.89 GHz,0.32,0.18
8812,5.72,6.73,7.03,0.64,0.44,0.14,1.58 GHz,0.19,0.2
8813,5.63,7.27,6.6,0.65,0.43,0.13,1.43 GHz,0.3,0.31
8814,6.5,6.65,7.34,0.51,0.5,0.21,2.75 GHz,0.24,0.22
8815,6.34,6.52,7.36,0.63,0.53,0.14,3.42 GHz,0.19,0.21
8816,5.94,6.63,7.35,0.54,0.5,0.3,2.24 GHz,0.32,0.25
8817,6.43,7.33,6.81,0.66,0.48,0.18,2.56 GHz,0.17,0.32
8818,5.96,6.93,6.71,0.58,0.52,0.18,1.40 GHz,0.16,0.33
8819,5.92,7.37,6.86,0.55,0.56,0.11,3.15 GHz,0.19,0.18
8820,5.87,7.25,6.95,0.64,0.56,0.16,890.00 MHz,0.15,0.21
8821,5.89,7.39,6.95,0.69,0.51,0.23,3.15 GHz,0.23,0.27
8822,6.07,6.95,6.61,0.57,0.55,0.13,1.33 GHz,0.2,0.18
8823,6.1,7.43,7.39,0.6,0.48,0.16,2.05 GHz,0.33,0.23
8824,5.51,7.33,6.87,0.6,0.55,0.26,2.97 GHz,0.2,0.25
8825,5.61,7.17,7.35,0.54,0.51,0.2,3.15 GHz,0.23,0.21
8826,5.65,6.7,6.71,0.65,0.43,0.2,2.98 GHz,0.16,0.31
8827,5.58,7.41,6.94,0.51,0.52,0.27,1.39 GHz,0.21,0.16
8828,6.19,6.76,7.24,0.7,0.44,0.11,1.37 GHz,0.19,0.29
8829,6.19,7.2,7.48,0.6,0.51,0.1,1.98 GHz,0.17,0.15
8830,6.03,6.99,6.6,0.51,0.51,0.18,2.02 GHz,0.22,0.33
8831,5.74,6.71,6.78,0.58,0.53,0.1,1.46 GHz,0.25,0.23
8832,6.17,6.54,6.84,0.57,0.51,0.18,830.00 MHz,0.32,0.29
8833,5.58,6.71,7.38,0.52,0.52,0.17,2.86 GHz,0.21,0.24
8834,6.48,7.28,7.37,0.58,0.46,0.24,3.69 GHz,0.2,0.19
8835,6.36,6.5,6.88,0.57,0.41,0.15,3.87 GHz,0.21,0.26
8836,5.77,7.03,7.04,0.59,0.57,0.22,1.36 GHz,0.26,0.31
8837,5.95,7.11,6.99,0.6,0.53,0.14,2.82 GHz,0.29,0.24
8838,5.51,6.99,7.23,0.56,0.48,0.29,3.40 GHz,0.17,0.15
8839,5.59,7.17,6.91,0.58,0.44,0.11,3.00 GHz,0.17,0.15
8840,5.53,6.78,6.83,0.61,0.48,0.28,2.32 GHz,0.31,0.22
8841,6.13,7.39,7.05,0.6,0.55,0.13,2.09 GHz,0.22,0.32
8842,5.6,7.2,6.93,0.55,0.5,0.19,1.74 GHz,0.23,0.33
8843,5.87,7.11,7.47,0.64,0.52,0.12,3.32 GHz,0.16,0.2
8844,5.72,6.87,7.24,0.5,0.58,0.13,1.15 GHz,0.17,0.23
8845,5.77,6.91,6.93,0.5,0.58,0.12,2.63 GHz,0.21,0.32
8846,5.87,7.19,6.51,0.69,0.43,0.28,950.00 MHz,0.29,0.17
8847,6.19,7.21,7.03,0.52,0.43,0.11,3.93 GHz,0.24,0.16
8848,6.45,7.24,7.06,0.63,0.45,0.21,2.86 GHz,0.35,0.32
8849,5.93,6.77,6.76,0.52,0.44,0.25,3.42 GHz,0.29,0.17
8850,6.42,7.07,6.73,0.64,0.5,0.25,3.59 GHz,0.23,0.2
8851,5.89,6.77,6.54,0.5,0.51,0.17,1.72 GHz,0.19,0.21
8852,6.26,6.74,7.06,0.55,0.4,0.25,2.01 GHz,0.24,0.15
8853,6.11,6.79,7.25,0.67,0.45,0.27,1.35 GHz,0.32,0.29
8854,5.58,7.22,7.27,0.68,0.55,0.16,2.19 GHz,0.2,0.3
8855,6.24,6.86,7.36,0.59,0.53,0.23,3.46 GHz,0.32,0.2
8856,5.66,7.27,7.45,0.5,0.5,0.27,3.73 GHz,0.23,0.26
8857,5.75,6.52,6.97,0.55,0.43,0.13,2.82 GHz,0.21,0.19
8858,6.1,6.8,6.89,0.54,0.59,0.18,2.68 GHz,0.23,0.31
8859,5.73,7.38,7.47,0.54,0.42,0.21,2.03 GHz,0.19,0.16
8860,5.99,7.14,6.93,0.59,0.4,0.21,2.11 GHz,0.16,0.34
8861,6.26,7.12,6.7,0.59,0.57,0.28,1.82 GHz,0.26,0.18
8862,5.84,6.97,7.39,0.53,0.46,0.12,3.53 GHz,0.28,0.32
8863,6.3,7.05,7.22,0.57,0.54,0.1,1.69 GHz,0.18,0.32
8864,5.83,6.8,7.0,0.51,0.6,0.2,3.93 GHz,0.23,0.3
8865,5.8,7.34,6.89,0.68,0.52,0.27,2.00 GHz,0.33,0.27
8866,6.38,6.68,6.57,0.61,0.44,0.22,1.86 GHz,0.21,0.22
8867,5.93,7.37,7.33,0.59,0.54,0.15,3.85 GHz,0.33,0.21
8868,6.39,7.25,6.54,0.63,0.51,0.19,1.56 GHz,0.24,0.35
8869,6.27,6.82,6.51,0.56,0.58,0.12,1.91 GHz,0.23,0.25
8870,6.36,6.9,7.47,0.51,0.58,0.27,980.00 MHz,0.27,0.3
8871,6.16,7.23,7.17,0.57,0.57,0.22,3.05 GHz,0.19,0.18
8872,6.08,7.23,6.82,0.64,0.44,0.24,2.58 GHz,0.26,0.17
8873,6.15,6.54,7.4,0.61,0.42,0.16,2.09 GHz,0.25,0.3
8874,6.18,6.72,6.9,0.63,0.59,0.1,1.67 GHz,0.23,0.34
8875,5.61,7.48,6.52,0.68,0.54,0.18,3.04 GHz,0.23,0.16
8876,5.81,7.36,7.21,0.59,0.46,0.23,3.31 GHz,0.32,0.32
8877,6.34,7.09,6.63,0.63,0.52,0.13,1.32 GHz,0.24,0.32
8878,5.62,6.93,7.48,0.52,0.5,0.12,3.54 GHz,0.33,0.27
8879,5.67,7.18,7.06,0.66,0.57,0.13,3.45 GHz,0.22,0.24
8880,5.74,7.35,7.05,0.51,0.46,0.16,1.56 GHz,0.29,0.15
8881,5.65,7.28,6.75,0.51,0.46,0.12,3.69 GHz,0.35,0.19
